Query,Category,Priority
blind box,Blind Boxes,High
collectible toys,Collectibles,High
viral toys,Toy Trends,High
new toy trend,Toy Trends,High
Lucky Emma,Blind Boxes,High
Jotoys,Blind Boxes,High
Rebel Bear,Blind Boxes,High
Chiikawa,Licensed,High
Aphmau toys,Collectibles,High
Labubu,Blind Boxes,High
Pop Mart,Blind Boxes,High
Roblox toys,Gaming,High
Roblox merch,Gaming,High
anime figures,Anime,High
anime collectibles,Anime,High
Marvel toys,Licensed,Medium
DC toys,Licensed,Medium
NERF,Outdoor Action,Medium
Play-Doh,Creative Play,Medium
Bitzee,Interactive Toys,High
Fuggler,Collectibles,High
Pokemon cards,Trading Cards,High
Sanrio toys,Licensed,High
Hello Kitty collectibles,Licensed,High
Stitch toys,Licensed,High
KPop Demon Hunters toys,Licensed,High
